#acc	ensGene
Q8NGA8	ENSG00000176695
O75161	ENSG00000131697
Q13303	ENSG00000069424
Q8TDI0	ENSG00000116254
P35268	ENSG00000116251
Q6ZRF8	ENSG00000158286
O60725	ENSG00000116237
Q5TGS1	ENSG00000173673
Q6NV75	ENSG00000158292
O00154	ENSG00000097021
Q9Y543	ENSG00000069812
B1AK53	ENSG00000187017
Q93038	ENSG00000215788
O94827	ENSG00000171680
Q5SY16	ENSG00000162408
Q7RTX1	ENSG00000173662
P10074	ENSG00000204859
Q9UJP4	ENSG00000162413
Q86YI8	ENSG00000116273
Q8WTV1	ENSG00000041988
Q9NVH1	ENSG00000007923
Q9Y6Y1	ENSG00000171735
Q15836	ENSG00000049245
P56645	ENSG00000049246
O95399	ENSG00000049247
Q07011	ENSG00000049249
Q99497	ENSG00000116288
Q9UJM3	ENSG00000116285
Q9Y2W3	ENSG00000162426
Q9P2R6	ENSG00000142599
P06733	ENSG00000074800
P23280	ENSG00000131686
Q6PXP3	ENSG00000197241
P22732	ENSG00000142583
Q5UAW9	ENSG00000180758
O95479	ENSG00000049239
Q96BD6	ENSG00000171621
Q9BSK2	ENSG00000171612
Q5SNT2	ENSG00000188807
O00329	ENSG00000171608
O94985	ENSG00000171603
Q9NSA3	ENSG00000178585
Q8WZA0	ENSG00000162441
Q9HAN9	ENSG00000173614
Q96R05	ENSG00000162444
O95155	ENSG00000130939
O60333	ENSG00000054523
P52209	ENSG00000142657
Q8N2Z9	ENSG00000175279
O00230	ENSG00000241563
O00273	ENSG00000160049
O75381	ENSG00000142655
Q86V15	ENSG00000130940
Q8N9H9	ENSG00000175262
Q13148	ENSG00000120948
O00187	ENSG00000009724
P19623	ENSG00000116649
Q01780	ENSG00000171824
P42345	ENSG00000198793
O43827	ENSG00000171819
Q9Y5Z9	ENSG00000120942
Q9P2K9	ENSG00000204624
Q9UK22	ENSG00000116661
Q9H4M3	ENSG00000132879
Q9NRD1	ENSG00000116663
Q9UI95	ENSG00000116670
Q8NBI3	ENSG00000162490
Q6RW13	ENSG00000177674
Q5SNV9	ENSG00000215910
P42898	ENSG00000177000
P51797	ENSG00000011021
P01160	ENSG00000175206
P16860	ENSG00000120937
Q8IYS2	ENSG00000116685
Q02809	ENSG00000083444
O95140	ENSG00000116688
Q5JXC2	ENSG00000116691
P28908	ENSG00000120949
P20333	ENSG00000028137
Q5THJ4	ENSG00000048707
O75911	ENSG00000162496
Q5VUY2	ENSG00000204518
Q5VUY0	ENSG00000188984
Q8N1D5	ENSG00000157330
O95522	ENSG00000116726
O95521	ENSG00000116721
Q5VWM6	ENSG00000279169, ENSG00000282741
O60813	ENSG00000239810, ENSG00000281934
O60812	ENSG00000179172, ENSG00000282175
O60811	ENSG00000120952, ENSG00000282817
O60810	ENSG00000282584, ENSG00000243073
O60809	ENSG00000282663, ENSG00000187545
Q5VWM4	ENSG00000182330, ENSG00000282583, ENSG00000283387, ENSG00000278021
Q5VXH5	ENSG00000204510, ENSG00000279195
Q5TYX0	ENSG00000282424, ENSG00000283150, ENSG00000270601, ENSG00000276420
Q5VXH4	ENSG00000282119, ENSG00000232423
A3QJZ7	ENSG00000282437, ENSG00000274764, ENSG00000283425
A6NGN4	ENSG00000276299, ENSG00000229571, ENSG00000283348, ENSG00000282566
B7ZW38	ENSG00000283292, ENSG00000277058, ENSG00000282559
P0DMR1	ENSG00000282095, ENSG00000179412, ENSG00000283231
H0Y7S4	
B2RXH8	ENSG00000275774, ENSG00000283370, ENSG00000282530
H0Y7S4	
A6NGN4	ENSG00000276299, ENSG00000229571, ENSG00000283348, ENSG00000282566
B7ZW38	ENSG00000283292, ENSG00000277058, ENSG00000282559
P0DMR1	ENSG00000282095, ENSG00000179412, ENSG00000283231
A3QJZ7	ENSG00000282437, ENSG00000274764, ENSG00000283425
Q5VWM3	ENSG00000282212, ENSG00000279804
A3QJZ6	
Q5TYX0	ENSG00000282424, ENSG00000283150, ENSG00000270601, ENSG00000276420
Q5VXH4	ENSG00000282119, ENSG00000232423
Q5VWM4	ENSG00000182330, ENSG00000282583, ENSG00000283387, ENSG00000278021
Q5VXH5	ENSG00000204510, ENSG00000279195
Q5VWM5	ENSG00000204501
Q5SWL7	ENSG00000204481
Q5VWM6	ENSG00000279169, ENSG00000282741
Q5SWL8	ENSG00000204480
Q5VTA0	ENSG00000204479
Q5VT98	ENSG00000204478
Q5VT99	ENSG00000162494
Q86YL7	ENSG00000162493
Q13029	ENSG00000116731
Q674X7	ENSG00000189337
Q5TG92	
Q9NW97	ENSG00000171729
B1AJZ9	ENSG00000142621
Q96C19	ENSG00000142634
Q99895	ENSG00000162438
P08217	ENSG00000142615
P08218	ENSG00000215704
P55211	ENSG00000132906
Q9Y2G8	ENSG00000116138
Q9BSE5	ENSG00000116771
Q5TDH0	ENSG00000197312
Q92681	ENSG00000215695
Q8IWE5	ENSG00000116786
Q6PIV7	ENSG00000162461
A0PJX8	ENSG00000162460
Q8WUP2	ENSG00000162458
A0A096LP55	ENSG00000233954
Q96T58	ENSG00000065526
Q13105	ENSG00000116809
Q8NEQ6	ENSG00000183888
Q9UBY9	ENSG00000173641
P51800	ENSG00000186510
P51801	ENSG00000184908
Q96AQ9	ENSG00000185519
P29317	ENSG00000142627
Q8IW93	ENSG00000142632
Q9BU20	ENSG00000132881
Q6P3S6	ENSG00000037637
Q7Z422	ENSG00000055070
Q7Z572	ENSG00000187144
Q9NVZ3	ENSG00000157191
Q3BBV0	ENSG00000219481
P0DMU3	
P0DMU3	
Q5TZA2	ENSG00000058453
Q8IVE0	
P55001	ENSG00000117122
Q9NQ11	ENSG00000159363
P21912	ENSG00000117118
Q9Y2J8	ENSG00000117115
Q9ULC6	ENSG00000281459, ENSG00000142623
Q9ULW8	ENSG00000280549, ENSG00000142619
Q9UM07	ENSG00000280908, ENSG00000159339
Q6TGC4	ENSG00000280949, ENSG00000276747
Q9P258	ENSG00000179051, ENSG00000281540
Q9HCE6	ENSG00000074964
Q9H568	ENSG00000117148
Q96ID5	ENSG00000117154
Q5VTJ3	ENSG00000179023
P23759	ENSG00000009709
Q8TE23	ENSG00000179002
P30038	ENSG00000159423
Q5TF58	ENSG00000169991
Q5T4S7	ENSG00000127481
Q8N766	ENSG00000127463
Q9UKD2	ENSG00000053372
Q8NHP1	ENSG00000211454
O95154	ENSG00000162482
O43488	ENSG00000053371
Q6ZP29	ENSG00000040487
P47756	ENSG00000077549
Q5TGZ0	ENSG00000173436
P41271	ENSG00000158747
P50406	ENSG00000158748
Q5TGY1	ENSG00000162542
Q9NXI6	ENSG00000178828
Q5T2D3	ENSG00000169914
Q9NZK7	ENSG00000188784
P14555	ENSG00000188257
P39877	ENSG00000127472
Q9UNK4	ENSG00000117215
Q9BZM2	ENSG00000158786
Q5R387	ENSG00000187980
Q96LJ8	ENSG00000162543
Q5TIE3	ENSG00000158816
Q7Z7J9	ENSG00000162545
Q969V5	ENSG00000090432
Q6ZT52	ENSG00000183114
P32320	ENSG00000158825
Q9BXM7	ENSG00000158828
P39656	ENSG00000244038
Q9P2E2	ENSG00000117245
Q6ZV89	ENSG00000189410
Q5SSJ5	ENSG00000127483
O43432	ENSG00000075151
P42892	ENSG00000117298
Q9H094	ENSG00000142794
P05186	ENSG00000162551
P47736	ENSG00000076864
Q86UV5	ENSG00000090686
Q5SZI1	ENSG00000187942
P98160	ENSG00000142798
P08861	ENSG00000219073
P09093	ENSG00000142789
P60953	ENSG00000070831
P56705	ENSG00000162552
Q9NUA8	ENSG00000184677
P29322	ENSG00000070886
P02745	ENSG00000173372
P02747	ENSG00000159189
P02746	ENSG00000173369
P29323	ENSG00000133216
A8MY62	ENSG00000215906
H3BTG2	ENSG00000227868
O60341	ENSG00000004487
Q86V48	ENSG00000169641
P28221	ENSG00000179546
O43390	ENSG00000282958, ENSG00000125944
Q9C0F3	ENSG00000125945, ENSG00000283009
O75764	ENSG00000204219, ENSG00000282941
Q8TDY4	ENSG00000282854, ENSG00000088280
Q14209	ENSG00000007968, ENSG00000282899
Q02535	ENSG00000283060, ENSG00000117318
Q8NDY4	
P62913	ENSG00000142676
Q14241	ENSG00000011007
Q9GZP4	ENSG00000057757
O95372	ENSG00000011009
Q14376	ENSG00000117308
P35914	ENSG00000117305
P04066	ENSG00000179163
P34972	ENSG00000188822
Q9NPJ4	ENSG00000189266
O75494	ENSG00000188529
Q5VTT5	ENSG00000142661
Q8N6P7	ENSG00000142677
Q8IU57	ENSG00000185436
Q8TE85	ENSG00000158055
Q5TH74	ENSG00000001460
Q6P499	ENSG00000001461
Q9UKA8	ENSG00000117602
Q5T1S8	ENSG00000184454
Q8IYB3	ENSG00000133226
Q9Y696	ENSG00000169504
Q13761	ENSG00000020633
O95926	ENSG00000117614
Q9BUV0	ENSG00000117616
Q02161	ENSG00000187010
O95807	ENSG00000183726
P18577	ENSG00000188672
Q8N5G2	ENSG00000204178
Q5SW96	ENSG00000157978
Q9NR34	ENSG00000117643
Q9NZV5	ENSG00000162430
Q9H019	ENSG00000117640
Q9H7T9	ENSG00000127423
Q86WK9	ENSG00000182749
P16949	ENSG00000117632
Q99487	ENSG00000158006
Q92935	ENSG00000158008
Q9BRI3	ENSG00000158014
Q969Q1	ENSG00000158022
Q8N165	ENSG00000175087
Q8TAY7	ENSG00000197245
O00488	ENSG00000142684
Q969H4	ENSG00000142675
Q7RTX7	ENSG00000188782
Q6P2H3	ENSG00000130695
Q9H299	ENSG00000142669
Q5T124	ENSG00000158062
P31358	ENSG00000169442
Q8N1P7	ENSG00000176092
Q8IZ20	ENSG00000176083
Q9H9Z2	ENSG00000131914
Q86SQ9	ENSG00000117682
P05204	ENSG00000198830
Q15418	ENSG00000117676, ENSG00000281877
O14497	ENSG00000117713
Q9NUD9	ENSG00000060642
Q9NUE0	ENSG00000204160
P31947	ENSG00000175793
Q9H9Y4	ENSG00000142751
Q96I76	ENSG00000198746
Q15466	ENSG00000131910
Q9Y266	ENSG00000090273
Q8NAX2	ENSG00000175707
Q6NT89	ENSG00000253368
Q96A09	ENSG00000158246
P19634	ENSG00000090020
Q8N5D0	ENSG00000142784
Q9H0R3	ENSG00000186501
Q8IYJ3	ENSG00000142765
O95382	ENSG00000142733
O75636	ENSG00000142748
Q6UWJ8	ENSG00000174950
P46089	ENSG00000181773
Q9Y6W5	ENSG00000158195
Q5TGY3	ENSG00000126705
P09769	ENSG00000000938
P09912	ENSG00000126709
Q8TAV0	ENSG00000009780
Q86Y82	ENSG00000117758
Q12972	ENSG00000117751
Q5TEJ8	ENSG00000130775
P15927	ENSG00000117748
Q92485	ENSG00000130768
Q9H6D3	ENSG00000158156
Q99504	ENSG00000158161
P25105	ENSG00000169403
O75937	ENSG00000285317, ENSG00000126698
Q9UII2	ENSG00000285390, ENSG00000130770
P58004	ENSG00000130766, ENSG00000285069
Q9BUE0	ENSG00000130772, ENSG00000284944
Q8IZ21	ENSG00000204138
P18754	ENSG00000180198
Q9NX07	ENSG00000180098
Q8N4Z0	ENSG00000188060
Q16514	ENSG00000120656
Q9Y692	ENSG00000162419
Q9Y5A9	ENSG00000198492
P41143	ENSG00000116329
P11171	ENSG00000159023
Q69YZ2	ENSG00000253304
Q08170	ENSG00000116350
Q9BV79	ENSG00000116353
Q92729	ENSG00000060656
P21941	ENSG00000162510
Q13571	ENSG00000162511
O75056	ENSG00000162512
Q14671	ENSG00000134644
Q4KMZ8	ENSG00000084628
Q96DI7	ENSG00000060688
Q9NP64	ENSG00000121766
P05413	ENSG00000121769
Q96SA4	ENSG00000168528
Q9GZM7	ENSG00000142910
O43613	ENSG00000121764
Q9UBV8	ENSG00000162517
Q07092	ENSG00000084636
O60241	ENSG00000121753
Q6ZMY3	ENSG00000134668
Q12974	ENSG00000184007
Q07666	ENSG00000121774
Q9GZU3	ENSG00000121775
O60684	ENSG00000025800
P40222	ENSG00000084652
Q9BUN5	ENSG00000160050
Q4KMZ1	ENSG00000160051
A2VCK2	ENSG00000222046
Q8WY98	ENSG00000160055
Q13347	ENSG00000084623
Q9BTA0	ENSG00000183615
P06239	ENSG00000182866
Q13547	ENSG00000116478
P49006	ENSG00000175130
H3BQW9	ENSG00000225828
Q96PN8	ENSG00000162526
Q9NW68	ENSG00000160058
Q8NAP8	ENSG00000273274
Q96BR9	ENSG00000160062
Q8IWT0	ENSG00000176261
Q09028	ENSG00000162521
Q9H7C4	ENSG00000162520
Q9P206	ENSG00000162522
P54577	ENSG00000134684
Q96BU1	ENSG00000116497
Q8NAU1	ENSG00000160097
P84074	ENSG00000121905
Q969K7	ENSG00000121900
Q6ZMZ0	ENSG00000116514
P54819	ENSG00000004455
Q96A70	ENSG00000142920
Q9BVG3	ENSG00000116525
Q5T0B9	ENSG00000160094
U3KPV4	ENSG00000184389
Q8IXK0	ENSG00000134686
P17040	ENSG00000121903
Q7Z408	ENSG00000121904
Q8WW32	ENSG00000176256
Q6P1W5	ENSG00000142698
O95377	ENSG00000189280
Q9NTQ9	ENSG00000189433
O75712	ENSG00000188910
P35212	ENSG00000187513
Q96EX1	ENSG00000163866
O95886	ENSG00000116544
Q8NCS4	ENSG00000243749
O95789	ENSG00000163867
Q5SVZ6	ENSG00000197056
P23246	ENSG00000116560
Q5VZL5	ENSG00000146463
Q8IZA0	ENSG00000142687
Q9UBB6	ENSG00000020129
Q6VUC0	ENSG00000116819
P49721	ENSG00000126067
Q8TAB5	ENSG00000142686
Q9HAW4	ENSG00000092853
Q9HCK5	ENSG00000134698
Q9UL18	ENSG00000092847
Q9H9G7	ENSG00000126070
Q9UIF3	ENSG00000092850
Q9NX46	ENSG00000116863
P25067	ENSG00000171812
O43617	ENSG00000054116
Q3KQU3	ENSG00000116871
Q9Y2W1	ENSG00000054118
A4FU49	ENSG00000214193
A4FU49	ENSG00000214193
Q9NVM1	ENSG00000142694
Q8N2I9	ENSG00000196182
Q969L4	ENSG00000181817
Q8WVF1	ENSG00000116885
P82914	ENSG00000116898
Q99062	ENSG00000119535
Q13003	ENSG00000163873
Q5D1E8	ENSG00000163874
Q9HAF1	ENSG00000163875
Q8TAD8	ENSG00000163877
O14645	ENSG00000163879
Q13823	ENSG00000134697
Q2MKA7	ENSG00000169218
Q9NX04	ENSG00000116922
Q53HL2	ENSG00000134690
Q5JZY3	ENSG00000183317
Q5VSG8	ENSG00000185090
Q86U90	ENSG00000196449
Q6ZSJ8	ENSG00000197982
Q14872	ENSG00000188786
P32019	ENSG00000204084
Q12874	ENSG00000183431
Q13643	ENSG00000183386
Q9Y3A2	ENSG00000183520
Q03052	ENSG00000185668
Q9HB90	ENSG00000116954
Q99417	ENSG00000214114
P57773	ENSG00000131233
Q9NX52	ENSG00000158315
Q9H9L7	ENSG00000174574
O43920	ENSG00000168653
Q9UPN3	ENSG00000127603
O94854	
Q7Z5Y6	ENSG00000183682
Q13310	ENSG00000090621
Q9NQ87	ENSG00000163909
Q9BXI3	ENSG00000116981
Q9UM19	ENSG00000116983
Q9UNP9	ENSG00000084072
P34820	ENSG00000116985
Q9BYC2	ENSG00000198754
Q9H3H1	ENSG00000043514
P12524	ENSG00000116990
Q8NA29	ENSG00000168389
Q01518	ENSG00000131236
P50897	ENSG00000131238
Q13129	ENSG00000117000
Q7Z6W1	ENSG00000188800
O75844	ENSG00000084073
Q14055	ENSG00000049089
Q8WU79	ENSG00000084070
Q9UJL9	ENSG00000187801
Q49AA0	ENSG00000187815
Q9H790	ENSG00000164002
Q5T5D7	ENSG00000117010
Q9UJD0	ENSG00000117016
Q13952	ENSG00000066136
P56696	ENSG00000117013
Q96RK1	ENSG00000179862
P17812	ENSG00000171793
Q499Z3	ENSG00000171790
Q96GD3	ENSG00000010803
A8MYZ6	ENSG00000204060
P20800	ENSG00000127129
Q5T1R4	ENSG00000127124
Q16661	ENSG00000044012
Q02747	ENSG00000197273
Q9UPW0	ENSG00000198815
Q8IXN7	ENSG00000177181
Q9H0C1	ENSG00000066185
Q9HAB8	ENSG00000127125
Q5VVM6	ENSG00000186409
O43447	ENSG00000171960
P67809	ENSG00000065978
Q8N6F1	ENSG00000164007
Q32P28	ENSG00000117385
Q9BV19	ENSG00000164008
A0A1B0GVZ9	ENSG00000274386
A0A1B0GVZ9	ENSG00000274386
Q8N300	ENSG00000177868
Q96PL5	ENSG00000164010
Q5VV52	ENSG00000164011
P11166	ENSG00000117394
A6NL82	ENSG00000186973
Q99848	ENSG00000117395
Q96MR6	ENSG00000243710
Q96AQ2	ENSG00000179178
Q8IVY1	ENSG00000253313
P35590	ENSG00000066056
P40238	ENSG00000117400
Q12834	ENSG00000117399
Q9BW60	ENSG00000066322
Q96G25	ENSG00000159479
Q5T011	ENSG00000198198
Q5T013	ENSG00000178922
P10586	ENSG00000142949
O75164	ENSG00000066135
Q11203	ENSG00000126091
Q5T4W7	ENSG00000117407
O94829	ENSG00000117408
Q9BQC3	ENSG00000132768
Q99437	ENSG00000117410
O60909	ENSG00000117411
Q8N4L8	ENSG00000159214
P48067	ENSG00000196517
Q5JT82	ENSG00000171872
Q9NPF5	ENSG00000178028
O43414	ENSG00000117419
Q5VTB9	ENSG00000187147
Q6P2H8	ENSG00000126106
Q6PIY5	ENSG00000198520
Q99661	ENSG00000142945
P62241	ENSG00000142937
Q8NFU0	ENSG00000142959
Q9H4B4	ENSG00000173846
Q5JR98	ENSG00000188396
C9JJ37	ENSG00000222009
Q9Y6C5	ENSG00000117425
Q9NR50	ENSG00000070785
Q5T447	ENSG00000126107
P06132	ENSG00000126088
Q9P217	ENSG00000162415
Q96IR7	ENSG00000186603
Q9UIF7	ENSG00000132781
Q96GM8	ENSG00000132773
Q96S53	ENSG00000070759
Q9Y4U1	ENSG00000132763
Q06830	ENSG00000117450
P14550	ENSG00000117448
P49321	ENSG00000132780
Q96LX7	ENSG00000159588
Q9HC44	ENSG00000159592
Q5SWH9	ENSG00000159596
Q9Y573	ENSG00000197429
Q6P0Q8	ENSG00000086015
Q92569	ENSG00000117461
A0A087WWA1	ENSG00000250719
O60635	ENSG00000117472
Q8WZA1	ENSG00000085998
Q96LR2	ENSG00000171357
Q92698	ENSG00000085999
Q15345	ENSG00000132128
P07919	ENSG00000173660
Q96CB9	ENSG00000117481
O00519	ENSG00000117480
Q8NFW5	ENSG00000197587
A6PVL3	ENSG00000162456
Q9BUB5	ENSG00000079277
Q70IA8	ENSG00000142961
Q5TC12	ENSG00000123472
Q6PEX7	ENSG00000186118
O75071	ENSG00000159658
P13584	ENSG00000142973
Q02928	ENSG00000187048
Q8N118	ENSG00000186377
Q8N1L4	
Q86W10	ENSG00000186160
Q5TCH4	ENSG00000162365
Q13113	ENSG00000162366
P17542	ENSG00000162367
Q15468	ENSG00000123473
P30085	ENSG00000162368
Q13461	ENSG00000186790
O60548	ENSG00000186564
A6NFA1	ENSG00000269113
Q2M3M2	ENSG00000117834
Q9NWH7	ENSG00000132122
Q5VU57	ENSG00000186094
Q7L4P6	ENSG00000162373
P26378	ENSG00000162374
Q96SC8	ENSG00000142700
Q9UNN5	ENSG00000185104
P42773	ENSG00000123080
Q5T7R7	ENSG00000204006
Q9Y3C5	ENSG00000123091
Q5SRH9	ENSG00000085831
P42566	ENSG00000085832
Q96SU4	ENSG00000117859
O43847	ENSG00000078618
P20337	ENSG00000169213
O95881	ENSG00000117862
Q96EK9	ENSG00000198841
Q96K17	ENSG00000134717
O95405	ENSG00000157077
Q5T0F9	ENSG00000154222
Q13415	ENSG00000085840
Q8NAV1	ENSG00000134748
Q5TAX3	ENSG00000134744
Q96SL4	ENSG00000116157
Q6UWV7	ENSG00000182183
Q96BR5	ENSG00000162377
Q9C0D3	ENSG00000162378
Q6WRX3	ENSG00000203995
Q86YB7	ENSG00000121310
P22307	ENSG00000116171
Q7Z5L7	ENSG00000174348
O00341	ENSG00000162383
P23786	ENSG00000157184
Q9NWV4	ENSG00000162384
P61326	ENSG00000162385
Q14114	ENSG00000157193
Q96MA1	ENSG00000143006
Q8NBF1	ENSG00000174332
Q9BTX1	ENSG00000058804
Q9Y548	ENSG00000058799
P49895	ENSG00000211452
Q9Y547	ENSG00000081870
Q9Y546	ENSG00000116212
Q5T700	ENSG00000203985
Q9BXS4	ENSG00000116209
Q96MN5	ENSG00000116205
Q5VXM1	ENSG00000157211
Q6IPT4	ENSG00000215883
Q9BZE1	ENSG00000116221
Q9BWW4	ENSG00000157216
Q8WXI4	ENSG00000162390
Q8WW52	ENSG00000162391
Q68CQ1	ENSG00000184313
O95801	ENSG00000243725
Q7L3T8	ENSG00000162396
Q5TAA0	ENSG00000006555
Q3ZCV2	ENSG00000162398
Q15392	ENSG00000116133
Q8N0U2	ENSG00000143001
Q8WZ55	ENSG00000162399
Q8NBP7	ENSG00000169174
Q9UPU5	ENSG00000162402
O14495	ENSG00000162407
P54646	ENSG00000162409
Q5VWT5	ENSG00000187889
P07357	ENSG00000157131
P07358	ENSG00000021852
O75553	ENSG00000173406
Q96E52	ENSG00000162600
P09758	ENSG00000184292
Q5VVJ2	ENSG00000162601
P05412	ENSG00000177606
Q96C11	ENSG00000172456
Q9UJC3	ENSG00000134709
P51589	ENSG00000134716
Q8N0U7	ENSG00000162598
Q12857	ENSG00000162599
Q9BX74	ENSG00000162604
Q8NI35	ENSG00000132849
Q5T7N2	ENSG00000240563
Q5T7N3	ENSG00000132854
O94782	ENSG00000162607
Q96N67	ENSG00000116641
Q9Y5C1	ENSG00000132855
Q96DT6	ENSG00000125703
Q9UJU5	ENSG00000187140
Q9Y672	ENSG00000088035
Q13352	ENSG00000142856
A8K855	ENSG00000203965
P36871	ENSG00000079739
Q01973	ENSG00000185483
Q5VVX9	ENSG00000177414
Q5VU97	ENSG00000158966
Q9HCJ3	ENSG00000162437
P23458	ENSG00000162434
P27144	ENSG00000162433
O75061	ENSG00000116675
O15243	ENSG00000213625
P48357	ENSG00000116678
Q07343	ENSG00000184588
Q9BQI5	ENSG00000118473
Q8N7M0	ENSG00000152760
Q9Y5Q6	ENSG00000172410
Q5VTH9	ENSG00000152763
Q8N108	ENSG00000198160
Q9NTN3	ENSG00000116704
Q5JVX7	ENSG00000203963
Q5VWK5	ENSG00000162594
Q99665	ENSG00000081985
Q8NC51	ENSG00000142864
P24522	ENSG00000116717
Q9UBI6	ENSG00000172380
O95661	ENSG00000162595
Q5T9L3	ENSG00000116729
Q16518	ENSG00000116745
Q5TB30	ENSG00000024526
Q96NW7	ENSG00000033122
Q9H9A6	ENSG00000066557
Q05519	ENSG00000116754
Q8N6S4	ENSG00000118454
Q9XRX5	ENSG00000197568
P32929	ENSG00000116761
P43115	ENSG00000050628
O95218	ENSG00000132485
Q7Z3B1	ENSG00000172260
A6PVS8	ENSG00000162620
O14772	ENSG00000254685
Q59H18	ENSG00000116783
A6NM62	ENSG00000162621
Q5RHP9	ENSG00000178965
Q08257	ENSG00000116791
Q6IPR3	ENSG00000162623
Q68G74	ENSG00000162624
Q8NCS7	ENSG00000137968
P11310	ENSG00000117054
P53611	ENSG00000137955
O15457	ENSG00000057468
Q8WXJ9	ENSG00000154007
Q8NDV1	ENSG00000184005
Q9BVH7	ENSG00000117069
Q92643	ENSG00000142892
Q9Y6K8	ENSG00000154027
Q8IYH5	
Q8TEY7	ENSG00000077254
Q8NAN2	ENSG00000180488
Q8NBZ9	
Q0ZGT2	ENSG00000162614
Q96AE4	ENSG00000162613
Q9UDY4	ENSG00000162616
Q8TF65	ENSG00000137960
P43088	ENSG00000122420
Q53G44	ENSG00000137959
Q8TCB0	ENSG00000137965
Q9HBW9	ENSG00000162618
O95490	ENSG00000117114
Q6ZT98	ENSG00000137941
P22694	ENSG00000142875
Q5VXD3	ENSG00000203943
Q8WZ79	ENSG00000137976
Q9H9Y2	ENSG00000117133
P63218	ENSG00000174021
Q01459	ENSG00000117151
Q9Y2D8	ENSG00000117155
Q9UBY5	ENSG00000171517
Q8IZK6	ENSG00000153898
Q8TDD5	ENSG00000055732
Q8IWG1	ENSG00000162643
Q5VT97	ENSG00000097096
Q8N6N3	ENSG00000162642
O95999	ENSG00000142867
O94760	ENSG00000153904
O00622	ENSG00000142871
Q9NWK9	ENSG00000117174
Q17RW2	ENSG00000171502
Q9ULJ1	ENSG00000122417
Q9UQC9	ENSG00000137975
A8K7I4	ENSG00000016490
Q14CN2	ENSG00000016602
Q9Y371	ENSG00000097033
O60613	ENSG00000183291
Q7LGA3	ENSG00000153936
P61968	ENSG00000143013
Q16513	ENSG00000065243
Q00403	ENSG00000137947
Q6YP21	ENSG00000137944
Q96E39	ENSG00000213516
Q9H0R5	ENSG00000117226
P32455	ENSG00000117228
P32456	ENSG00000162645
Q8N8V2	ENSG00000213512
Q96PP9	ENSG00000162654
Q96PP8	ENSG00000154451
Q6ZN66	ENSG00000183347
Q6P9F7	ENSG00000197147
Q8TDW0	ENSG00000171488
Q7L1W4	ENSG00000171492
Q5BKZ1	ENSG00000162664
Q9NY43	ENSG00000143032
Q9H582	ENSG00000122482
